,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,SINNOVPATEU_target,DOMPATINUS_target,DOMPATINEU_target,TE_target
0,-50,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
1,-40,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2,-30,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
3,-20,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
4,-10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
5,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
6,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
9,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
10,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
11,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
12,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
13,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
14,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
15,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
16,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
17,20,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
18,30,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
19,40,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
20,50,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
