,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0
1,-40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0
2,-30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0
3,-20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
4,-10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
5,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
7,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0
8,30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0
9,40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0
10,50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0
