country_code,output,expenditure,deficit,gdp,labor,rnd_gdp,price_level
1.0,26266621.840996,26900813.237792,-634191.3967959993,14769857911000.0,204331171.0,0.027679100036621097,1.0
2.0,39210473.273439005,39245632.752375,-35159.47893599421,21047370854207.145,392467807.0,0.01806801285235125,1.185526151043946
3.0,9392988.015118,9353589.188351,39398.82676699944,5106679115127.3,81996931.0,0.032922399044036904,1.13047967530803
4.0,12265325.549213,11900860.114402,364465.4348109998,4594307032660.79,965322958.0,0.014459199905395499,0.457472250712489
5.0,3013898.3387499996,3014102.550824,-204.21207400038838,1695824565928.67,130440998.0,0.0112904000282288,0.662717429972685
6.0,2433482.41077,2473608.232726,-40125.821955999825,1198895582137.51,762763594.0,0.00858759999275208,0.273236324786235
7.0,2712962.116026,2681326.0792770004,31636.03674899973,1552989690721.65,23111668.0,0.0185578000545502,1.15687910028116
8.0,2416582.840896,2390066.076752,26516.76414400013,1047339010225.25,35397207.0,0.029888699054718,0.712962423461728
9.0,2985789.467247,2886914.163575,98875.30367199983,1660846387624.78,102125130.0,0.0104435002803802,0.577043161965002
10.0,1907341.8229130001,1930726.499997,-23384.67708399985,1109989063586.62,69420302.0,0.00443870007991791,0.671135071026173
11.0,9901937.469127001,9729764.248424001,172173.2207030002,10336504955378.688,1654920359.0,0.013618988305749351,0.5802150395882835
