countryname,countrycode,ccode7,ccode13,ccode12,ccode11
United States,USA,1,1,1,1
Albania,ALB,100,100,100,100
Austria,AUT,2,2,2,2
Belgium,BEL,2,2,2,2
Bulgaria,BGR,2,2,2,2
Croatia,HRV,2,2,2,2
Cyprus,CYP,2,2,2,2
Czechia,CZE,2,2,2,2
Denmark,DNK,2,2,2,2
Estonia,EST,2,2,2,2
Finland,FIN,2,2,2,2
France,FRA,2,2,2,2
Germany,DEU,2,2,2,2
Greece,GRC,2,2,2,2
Hungary,HUN,2,2,2,2
Iceland,ISL,2,2,2,2
Ireland,IRL,2,2,2,2
Italy,ITA,2,2,2,2
Latvia,LVA,2,2,2,2
Liechtenstein,LIE,100,100,100,100
Lithuania,LTU,2,2,2,2
Luxembourg,LUX,2,2,2,2
Malta,MLT,2,2,2,2
Monaco,MCO,100,100,100,100
Netherlands,NLD,2,2,2,2
North Macedonia,MKD,100,100,100,100
Norway,NOR,2,2,2,2
Poland,POL,2,2,2,2
Portugal,PRT,2,2,2,2
Romania,ROU,2,2,2,2
San Marino,SMR,100,100,100,100
Serbia,SRB,100,100,100,100
Slovak Republic,SVK,2,2,2,2
Slovenia,SVN,2,2,2,2
Spain,ESP,2,2,2,2
Sweden,SWE,2,2,2,2
Switzerland,CHE,2,2,2,2
Turkiye,TUR,2,2,2,2
United Kingdom,GBR,2,2,2,2
Japan,JPN,3,3,3,3
China,CHN,4,4,4,4
Brazil,BRA,5,5,5,5
India,IND,6,6,6,6
Canada,CAN,100,7,7,7
"Korea, Rep.",KOR,100,8,8,8
Russian Federation,RUS,100,9,9,9
Australia,AUS,100,10,100,100
Mexico,MEX,100,11,10,10
Indonesia,IDN,100,12,100,100
Afghanistan,AFG,100,100,100,100
Algeria,DZA,100,100,100,100
American Samoa,ASM,100,100,100,100
Andorra,AND,100,100,100,100
Angola,AGO,100,100,100,100
Antigua and Barbuda,ATG,100,100,100,100
Argentina,ARG,100,100,100,100
Armenia,ARM,100,100,100,100
Aruba,ABW,100,100,100,100
Azerbaijan,AZE,100,100,100,100
"Bahamas, The",BHS,100,100,100,100
Bahrain,BHR,100,100,100,100
Bangladesh,BGD,100,100,100,100
Barbados,BRB,100,100,100,100
Belarus,BLR,100,100,100,100
Belize,BLZ,100,100,100,100
Benin,BEN,100,100,100,100
Bermuda,BMU,100,100,100,100
Bhutan,BTN,100,100,100,100
Bolivia,BOL,100,100,100,100
Bosnia and Herzegovina,BIH,100,100,100,100
Botswana,BWA,100,100,100,100
British Virgin Islands,VGB,100,100,100,100
Brunei Darussalam,BRN,100,100,100,100
Burkina Faso,BFA,100,100,100,100
Burundi,BDI,100,100,100,100
Cabo Verde,CPV,100,100,100,100
Cambodia,KHM,100,100,100,100
Cameroon,CMR,100,100,100,100
Cayman Islands,CYM,100,100,100,100
Central African Republic,CAF,100,100,100,100
Chad,TCD,100,100,100,100
Channel Islands,CHI,100,100,100,100
Chile,CHL,100,100,100,100
Colombia,COL,100,100,100,100
Comoros,COM,100,100,100,100
"Congo, Dem. Rep.",COD,100,100,100,100
"Congo, Rep.",COG,100,100,100,100
Costa Rica,CRI,100,100,100,100
Cote d'Ivoire,CIV,100,100,100,100
Cuba,CUB,100,100,100,100
Curacao,CUW,100,100,100,100
Djibouti,DJI,100,100,100,100
Dominica,DMA,100,100,100,100
Dominican Republic,DOM,100,100,100,100
